Sno,Species,Specimen no,image ID,Genera,Habit,Origin,Diet
1,Adelophis_foxi,LSUMZ73561,IMG_3526,Adelophis,Burrowing,American,annelids
2,Adelophis_foxi,LSUMZMF-818,IMG_3533,Adelophis,Burrowing,American,annelids
3,Adelophis_foxi,UMMZ128536,IMG_3516,Adelophis,Burrowing,American,annelids
4,Afronatrix_anoscopus_2,1969.2265,IMG_4561,Afronatrix,Aquatic,African,aquatic gen
5,Afronatrix_anoscopus_2,1969.2266,IMG_4560,Afronatrix,Aquatic,African,aquatic gen
6,Amphiesma_beddomei,74.4.29.27,IMG_1662,Amphiesma,Terrestrial,Asian,anurans
7,Amphiesma_beddomei,88.1.27.51,IMG_1664,Amphiesma,Terrestrial,Asian,anurans
8,Amphiesma_beddomei,93.4.18.13,IMG_1668,Amphiesma,Terrestrial,Asian,anurans
9,Amphiesma_monticola,64.10.4.2,IMG_1586,Amphiesma,Terrestrial,Asian,anurans
10,Amphiesma_monticola,ZMB 6059,IMG_9954,Amphiesma,Terrestrial,Asian,anurans
11,Amphiesma_stolatum_2,1905.3.25.87,IMG_9322,Amphiesma,Terrestrial,Asian,generalist
12,Amphiesma_stolatum_2,88.1.27.46,IMG_9295,Amphiesma,Terrestrial,Asian,generalist
13,Amphiesmoides_ornaticeps,FMNH,IMG_0741,Amphiesmoides,Semiaquatic,Asian,unknown
14,Aspidura_ceylonensis,ZMB 3879,IMG_9984,Aspidura,Burrowing,Asian,annelids
15,Aspidura_copei,ZMB 8375,IMG_0023,Aspidura,Burrowing,Asian,annelids
16,Atretium_schistosum_2,111.22.1a.e,IMG_1722,Atretium,Aquatic,Asian,aquatic gen
17,Atretium_schistosum_2,46.11.22.90,IMG_1719,Atretium,Aquatic,Asian,aquatic gen
18,Blythia_reticulata,BNHS1738,IMG_3240,Blythia,Burrowing,Asian,annelids
19,Blythia_reticulata,BNHS1743,IMG_3248,Blythia,Burrowing,Asian,annelids
20,Clonophis_kirtlandii,AMNH122398,IMG_4543,Clonophis,Semiaquatic,American,aquatic gen
21,Fowlea_asperrimus,1910.3.16.24,IMG_1855,Fowlea,Aquatic,Asian,aquatic gen
22,Fowlea_asperrimus,1931.5.13.35,IMG_1851,Fowlea,Aquatic,Asian,aquatic gen
23,Fowlea_asperrimus,1946.1.12.73,IMG_1892,Fowlea,Aquatic,Asian,aquatic gen
24,Fowlea_flavipunctatus_1,1977.1928,IMG_9226,Fowlea,Aquatic,Asian,aquatic gen
25,Fowlea_flavipunctatus_2,1983.186,IMG_9276,Fowlea,Aquatic,Asian,aquatic gen
26,Fowlea_melanzostus,1920.1.20.453a,IMG_1842,Fowlea,Aquatic,Asian,aquatic gen
27,Fowlea_melanzostus,94.3.24.10,IMG_2616,Fowlea,Aquatic,Asian,aquatic gen
28,Fowlea_piscator_2,95.4.23.16,IMG_1837,Fowlea,Aquatic,Asian,aquatic gen
29,Fowlea_piscator_2,72.4.7.393,IMG_1826,Fowlea,Aquatic,Asian,aquatic gen
30,Fowlea_punctulatus,1946.1.13.59,IMG_1921,Fowlea,Aquatic,Asian,aquatic gen
31,Fowlea_punctulatus,CAS211958,IMG_3665,Fowlea,Aquatic,Asian,unknown
32,Fowlea_punctulatus,CAS215062,IMG_3681,Fowlea,Aquatic,Asian,unknown
33,Fowlea_sanctijohannis,1907.12.16.5,IMG_1829,Fowlea,Aquatic,Asian,aquatic gen
34,Fowlea_sanctijohannis,1946.1.13.61,IMG_1881,Fowlea,Aquatic,Asian,aquatic gen
35,Fowlea_sanctijohannis,91.9.14.15,IMG_1843,Fowlea,Aquatic,Asian,aquatic gen
36,Fowlea_tytleri,1940.3.7.5,IMG_1864,Fowlea,Aquatic,Asian,aquatic gen
37,Fowlea_yunnanensis,ZSI4191,IMG_3412,Atretium,Aquatic,Asian,unknown
38,Fowlea_yunnanensis,ZSI4192,IMG_3419,Atretium,Aquatic,Asian,unknown
39,Haldea_striatula,1931.3.29.20,IMG_4570,Haldea,Burrowing,American,annelids
40,Haldea_striatula,87.5.14.30,IMG_4568,Haldea,Burrowing,American,annelids
41,Hebius_atemporale_1,1983.164,IMG_1599,Hebius,Terrestrial,Asian,unknown
42,Hebius_atemporale_1,1983.165,IMG_1598,Hebius,Terrestrial,Asian,unknown
43,Hebius_bitaeniatum_2,1930.11.16.5,IMG_1596,Hebius,Terrestrial,Asian,anurans
