Species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,Genera,Habit,Origin,Diet
Adelophis_foxi,-0.017795541015154438,-0.031118588268488713,-0.03445227999074292,0.012336651112601852,-0.02891701273198071,-0.013041172447140793,0.0038752609277123064,0.006311225713906262,0.00160016512574789,0.0015345937467247748,-6.826544458708723e-4,0.003925704637672074,-0.0014949426914236002,-0.0010620748074099365,-0.0019491511540736992,0.0014762786841656483,5.622314441170713e-4,-8.000756882378696e-4,-0.0011584797746984838,7.604793491587224e-5,7.382061232935293e-4,-0.0011051387405971872,-2.8802268536771687e-4,-0.0015894956066579184,-5.604785386253982e-4,1.2493642790312425e-4,4.236846778704395e-5,6.593426706451191e-4,7.856914001608393e-4,6.618619583309912e-4,4.111921881807727e-4,6.709353714023751e-5,-8.837409940802202e-4,-6.228465394363924e-4,3.5562415874924267e-4,1.9888085613190443e-4,-1.7267813064234699e-4,-4.4106933530857647e-4,-3.954125497581502e-4,-2.020782470488817e-4,-8.841479658900217e-4,-4.929506340035047e-4,1.8669604117112174e-4,-3.0186894762622245e-4,-1.554750093411988e-4,3.1530526743395166e-4,-2.748056568947885e-5,-4.068715344921636e-4,-1.2085156496266253e-5,3.759692067472157e-4,-2.984828177156055e-4,-1.2104726825974167e-4,-1.7758137484492117e-4,4.713401111533014e-4,1.3242405310921388e-4,2.504093593419282e-4,-5.3404877024615914e-5,-8.650103011826005e-5,-1.8883962254340745e-5,-4.682431454560115e-6,-1.8137743191211906e-4,-9.930080824121834e-5,-8.447790824512604e-5,-1.8371523282775828e-4,1.0780864534409634e-4,6.904095009840753e-5,8.615320449443336e-5,-7.873183671571802e-5,-1.0409274202432097e-5,-6.170215189710385e-5,-1.6859343782149594e-17,-1.5395670849294163e-17,-5.139118297581291e-17,-9.974659986866641e-18,Adelophis,Burrowing,American,annelids
Afronatrix_anoscopus_2,-0.06677843893219708,0.050075332137255624,0.01605669238685108,-0.0031642418080905406,-0.01110968336859471,0.008834592166234456,-0.0019217435001984999,-0.0025820513599420173,-0.0043568970358517055,6.776442237111563e-4,0.0013114730280421516,-0.006950940696085549,-5.443058616072369e-4,-0.004364650982784937,0.0014719112641406744,-0.005031059196474987,0.0010961737707887776,0.0029273015481878074,1.2014838301854132e-4,7.020603084367248e-4,-6.868844739501502e-4,-3.9308573401804984e-4,-0.0019638386433843817,0.00110181589366661,-0.0014545357545555498,0.001359355211130733,-0.0010810876157683993,-9.254950857332888e-4,6.02609371477977e-4,-8.478500673546051e-4,-9.99050693525742e-4,3.9388654019050005e-4,-0.0010816765658586108,7.249998325198396e-4,-5.851996878772469e-4,9.182789556109669e-4,-7.035310576263831e-4,-2.9339033139786145e-4,-1.8069106313208893e-4,-0.001105830466656227,4.7302521164911796e-4,-1.1462312190019388e-4,4.448370643513036e-4,4.3473089749659677e-4,-9.058123467808543e-5,2.2620681203025723e-4,9.549098900371911e-4,-6.314325412536963e-5,-2.8584506837734498e-5,-1.2132570230306368e-4,7.71379193639187e-5,4.147206988907451e-5,9.653279607154739e-5,1.9282699318136958e-4,5.47986228495977e-4,6.164046447857774e-5,-3.705576634198038e-5,7.824908325082606e-5,2.499293028226439e-4,1.5345713325453248e-4,-9.279352064885929e-5,8.893699525934554e-5,-9.371788024063613e-5,-1.4616883171711528e-5,-4.9209255209214475e-5,4.580694306862201e-5,1.5348862096964118e-4,-9.620778381464892e-5,-4.129740556190061e-6,4.0392883900761505e-5,-2.0464316005663896e-17,-8.72782748850831e-18,2.6291902682773483e-17,-4.6105697384946076e-17,Afronatrix,Aquatic,African,aquatic gen
Amphiesma_beddomei,-0.02199110516922699,-0.021972228052616612,-0.03340007111057151,-0.011333056699417653,0.01547792836760308,-0.003881377210109153,-0.007001608326311348,-0.002854360621750167,0.003280326395326475,0.0047703445257648806,0.0012298765787090314,-0.0022818105550901353,-0.0010456343564156272,7.049932178137553e-4,0.0025464923306458102,0.001109004485222646,-0.001846888756238032,-0.001926744587491441,-3.2496492831394206e-4,-6.486947203658165e-6,-0.001229329710892187,0.0015405810058679932,-0.0020284205253709455,0.0010449923675800634,4.107820661354044e-4,-7.517666470176899e-4,0.0011775656841444245,-4.199790706507294e-4,0.0010563503901309143,6.319204056582283e-4,-4.664254956774586e-5,-2.3330662156573223e-4,-2.0295444344209802e-4,-4.820914902533554e-4,5.788623733788714e-4,1.717084457778979e-4,3.776524312399895e-4,-2.325789011703959e-5,6.587465813789423e-5,6.470413796743291e-5,-5.883129739583243e-4,-2.386883532943119e-4,1.9438411597928979e-4,2.987185917571939e-4,-3.172261494589748e-4,3.9420217012103045e-4,-1.692221479400915e-4,-1.0772925004537599e-4,7.315424049449424e-5,-4.873866629763067e-5,-5.223860283955841e-5,-1.7871780080916605e-4,-1.603441180199471e-4,-2.4788060719090597e-4,2.1933277891987818e-4,-1.9704545788264442e-4,6.600018916770654e-6,-6.181518082323595e-5,-3.941746728863452e-5,-2.000772288803878e-4,-2.0857189870635397e-4,-2.0445210655863026e-4,-1.8993513364460614e-4,9.379602431830203e-5,2.5573133962994866e-5,2.50844811069636e-6,3.26353364327772e-5,4.01719206554466e-5,1.735906219995525e-6,-5.545424277121222e-5,-9.974659986866641e-18,-2.168404344971009e-18,-7.914675859144182e-18,-1.2793585635328952e-17,Amphiesma,Terrestrial,Asian,anurans
Amphiesma_monticola,0.0400516731584366,0.037210977002734735,-0.01285677764538866,-0.003584550211134043,0.008527120745311121,-0.012523547737781913,0.010467012209648971,0.003633466425298947,8.648806839996909e-4,0.006220813427285852,-0.004408702060838439,-0.0018334148662820142,-0.002133794087074319,-0.0017609622438015482,-9.59601049343019e-4,1.1960885803125573e-4,5.03669253160975e-4,0.003084797528633401,-0.0019080483788471046,2.965756289616588e-4,0.0031378691504379587,6.93798444731932e-4,0.0012774755336936463,8.325661856960687e-4,-0.0026355866549013607,-5.841819794955526e-5,-0.00197663034742374,8.87752402356368e-4,-4.767122917981662e-4,0.0012123691485816713,0.0010238633875240826,-3.2353994695755867e-4,-2.866388980419984e-4,-0.0019882638511751465,-6.112128125713345e-4,2.094588113628216e-4,3.769597062137989e-4,2.252016110316701e-4,0.00108949616112185,-0.001377539697794303,-1.1999418260539554e-4,-5.968995840401073e-4,1.7322738701877025e-4,-1.0307484638423698e-4,4.893931517909677e-4,-2.1609592036829356e-4,-2.5949102245084515e-4,4.568625530437468e-4,2.886781071161845e-4,-6.411056373966073e-5,-1.9548554015304617e-5,1.9191943550107534e-4,2.298204995251742e-4,1.427199514538065e-4,-1.1591654636289945e-4,-7.199640473432066e-5,3.41847262054567e-4,-2.836866985933647e-4,4.023014807350212e-5,6.808638622653586e-5,3.574270208220984e-4,-1.538362696167676e-5,-2.4473972083467787e-4,1.2091010816094142e-4,-1.1009400142708342e-4,-6.612635538582554e-5,-6.463326662243732e-6,-6.131218230278886e-5,-5.3440596193344236e-5,8.290549552497902e-5,-1.6479873021779667e-17,-3.469446951953614e-18,2.3960868011929648e-17,-3.0249240612345574e-17,Amphiesma,Terrestrial,Asian,anurans
Amphiesma_stolatum_2,0.01338029625830638,-0.007259023685650758,-0.021862342843373513,0.0072888719027317285,0.004116035652602113,-0.0030455883992966423,-3.4861951894559764e-4,-0.004068598830786584,0.008637369175744583,-5.92225574398408e-4,-1.0677966154116897e-4,-8.63704348119737e-4,5.558121693497757e-4,-1.0789660880348247e-4,-0.0010341069981148325,0.002801570344861513,6.690626975885627e-4,3.1836820156085733e-4,-9.064289448966723e-4,-4.221024275414639e-4,5.41097014761844e-4,-2.630955066894452e-4,-6.147789242783498e-5,-2.643190116848463e-4,3.536919252102604e-5,8.051634501198544e-4,9.53333541264591e-4,8.517617773652495e-5,-4.579156828127736e-4,-2.847776138182281e-4,2.925727860597834e-4,-7.628994528103904e-4,-6.458200378917128e-4,3.9602922697568467e-4,2.639187912774985e-4,-9.254055555284002e-4,-4.715939502184167e-4,-6.323723299485966e-4,4.0025658518708215e-5,5.426937633263621e-4,-3.0456287788053235e-4,2.3756738346009346e-4,4.630701419421081e-4,3.4764048355170256e-4,-2.2483736819057083e-4,-3.35034850063867e-4,1.2197453915457444e-4,-7.773348992158447e-5,-1.8401187544416024e-4,5.5187098142838676e-5,1.7046982085373633e-4,9.256344106195352e-5,-1.0048315686932514e-4,-2.8688323314252025e-4,-1.6033058442375904e-4,2.3296163394785562e-4,-1.0160579772291236e-4,3.0856017843521304e-4,-1.1896647750007134e-4,-7.638258580330078e-5,-1.2522770421995305e-4,-2.918293872132653e-5,-9.728362277705028e-5,1.2491882876616064e-4,-4.775368094812275e-5,-7.555163517638398e-5,-3.562202516713366e-6,3.6572711315400985e-5,-2.6886795143988182e-5,3.334571334124675e-5,6.170465614158127e-17,1.032702569292443e-17,-1.1052085895774111e-17,5.332919435913075e-18,Amphiesma,Terrestrial,Asian,generalist
Amphiesmoides_ornaticeps,0.03580095268524089,-0.06593808086011324,-0.01538901024735717,-0.00640723855681909,0.005420357128329615,-0.011227688963008797,-0.0017873902149737786,0.0123570170839914,-0.007237213253039422,-0.005629791589104378,6.526593833255941e-4,7.113000674070788e-5,-0.003895617657144517,-0.0010752641387672965,0.0012119096019308194,0.001616929609567219,-0.002004953001946148,0.0011030991697484013,0.0017597599267476641,-0.0015185365737034053,0.004449269558888801,0.0011442255947594871,0.0015732047841623253,2.228029574113903e-4,5.352133782636946e-4,7.333723355942818e-4,-0.0026131115037147028,-9.83245509464204e-5,-0.0010551049008645454,5.786519214596299e-5,-3.165564236821419e-4,-3.932480341194737e-5,-7.573938682197231e-4,3.565698521306405e-4,-3.9364345808143406e-4,-2.1622019425794484e-4,9.779875416225528e-4,-9.507588019457607e-4,2.9038532514180052e-5,-1.2000892638552718e-5,4.028553474790405e-4,6.250244556622874e-4,-2.1380562244701558e-4,-0.0010002159546356987,-4.816738843439204e-5,1.8261810067134372e-4,2.015853724551522e-4,-9.205863692702198e-5,4.930647881998029e-4,-2.362306915878232e-4,1.9323170407980517e-5,-3.7615576580920325e-4,-1.1130748713966487e-4,2.0743145972528033e-4,-5.439003796305826e-6,-5.096443045933061e-5,-2.652732805608429e-4,2.7575641571181807e-5,1.9585997777027273e-4,3.703788608380703e-5,1.601481113047801e-4,-9.961125917595787e-5,1.1379936597932295e-5,1.4951358761293448e-4,1.1520359800695231e-4,1.8382635798843757e-5,9.961682319417543e-5,-1.4830355425500428e-5,2.5963184451336632e-5,-2.4074599240718495e-5,-5.651403824080692e-18,1.4013313079375145e-17,3.767602549387128e-18,-4.865357249028701e-18,Amphiesmoides,Semiaquatic,Asian,unknown
Aspidura_ceylonensis,-0.03143184878669829,-0.05420503421723872,0.0051332551069593856,0.0034593251234521665,-0.03713756786294208,-0.002780941181563471,-0.0012260709676822385,-0.002008014830669081,2.3591869381228074e-4,0.005442679047132623,-0.010174745999028265,-0.0047405626522541025,-0.0014972684581396427,0.003941546133536484,0.0015090888780562466,-0.003610149311249792,-0.006672608353285918,0.0031497243166650796,0.0013980210889170041,-0.0011078492247545706,-0.0014221691721655627,-9.562671137368666e-4,-6.644857879752409e-4,-0.0019467678279645282,6.525048850363818e-4,4.947756868871922e-4,0.0012763169090476926,7.339170482109515e-4,1.6984354024456076e-4,-9.81527166661339e-4,4.056678826848488e-4,-5.810876383803066e-4,5.964463821831437e-4,-8.216308042786314e-4,-2.386862482704276e-5,3.255866246323456e-4,2.2721322691060422e-4,-5.444886036634466e-4,-1.3836909395474e-4,-5.2658517919298685e-5,2.1696210753355185e-4,0.001144248580384053,6.588713963543208e-4,4.707645834544983e-4,-0.0011412694663363112,4.3131052299537397e-4,1.739089535550977e-4,-1.6234437103698329e-4,3.8088325246279144e-4,5.86250149591346e-6,-5.900960124755655e-5,-7.565273782732848e-5,2.249773880383919e-4,2.2318658754891615e-4,-2.7714162113619555e-4,-1.572294188175434e-4,5.146326356415343e-7,-3.6346931862358395e-4,-3.3780810322557825e-4,2.3797661204026307e-6,5.951068538034756e-5,1.5774366167513638e-4,3.9142351463286465e-5,4.7524362207178165e-6,8.351146629068768e-5,-2.8377533993916362e-5,-4.059016018556116e-5,6.747512380387587e-5,-4.778334882540565e-5,5.1681859560539576e-5,-2.894819800536297e-17,-1.214306433183765e-17,1.680513367352532e-17,8.456776945386935e-18,Aspidura,Burrowing,Asian,annelids
Aspidura_copei,0.01826793242602194,0.03200910539892185,-0.033465971700567365,-0.0035377968804053837,-0.04397954613858502,-0.04318448921558308,0.02102940987279362,-0.003406317438065586,-0.011378787868607881,-0.005046473672070165,-0.002738960134019688,-0.005682471463058801,0.005077708976088477,-6.783957593414782e-4,-0.004067288563716832,-3.59841091654319e-4,0.0016406609916515607,2.132593318980847e-4,-0.006673945019380595,0.0015046529561062129,-1.4294223719597604e-4,2.5895062432324776e-4,-0.001154300709090072,-0.002027613826575113,0.0015801246039513475,5.003528741058575e-4,-0.0012159995428709127,-0.00268257979782017,-0.0014444896048683787,9.124980294538883e-4,4.4237798435668534e-4,-6.35411859409446e-4,0.0010323660630554604,0.0010238648203228379,-0.0014115623236856908,-8.914719292337208e-4,3.1120037901754996e-4,-7.977143988387924e-4,9.263329823517937e-5,9.914401498535088e-4,1.2202456137178899e-4,3.6590761646566227e-4,3.2334053354404275e-4,3.559298022084825e-4,5.155189349767409e-4,-2.419237829038287e-4,4.7526601327816406e-4,2.962585634532818e-4,-1.1566237488880795e-4,1.3639802050270555e-4,3.80442178898617e-5,1.5571153687312354e-4,-1.1776229493598372e-4,-1.0363888424590293e-4,1.3884903742881357e-4,2.271975334061587e-4,-1.2055247228562972e-5,1.170946151917183e-4,3.958958418386662e-5,-6.952904088056763e-6,6.15334682328478e-5,-1.4311876691370433e-5,-4.136201038914113e-5,-5.448874894765721e-5,-2.705223941829255e-6,-3.7827288486676485e-5,-2.1716383362017773e-5,3.54396549688893e-5,9.601784930500241e-6,-4.582578522393603e-5,1.1384122811097797e-17,-2.710505431213761e-18,5.9631119486702744e-18,-1.1492543028346347e-17,Aspidura,Burrowing,Asian,annelids
Atretium_schistosum_2,-0.029592434453367514,0.07719797783195145,-7.133130702945401e-4,0.01502800979620213,-0.006206645432237767,0.013751416535060488,-0.0015588721198985236,-0.004491607767064079,0.006504234863751309,-0.004164016952151794,-5.6143473240732776e-5,0.0011092515238464932,-0.003071776560639766,0.002881975081504836,9.587811762801898e-4,-0.0018890727899371583,0.0011232636374956851,-1.430090894801457e-4,0.00011071526303487397,-0.002476156039094601,0.0012602964965052984,-0.0011280954777112885,-2.445075501095143e-4,-5.782018268218115e-4,3.725760185351251e-4,7.84031536323233e-4,-4.975114267560467e-4,4.8664626673721367e-4,-5.327975369922408e-4,-8.602756154165478e-5,1.452993046432415e-4,-1.8570410872331827e-4,-3.633159879717128e-4,3.8660926706770465e-4,-8.024679627236029e-4,-3.800525070305547e-4,3.385559725771835e-4,-9.523975813140888e-4,0.001156946658572112,8.212605157347316e-4,7.320466455249859e-5,-3.7321255927603135e-4,-2.1896746305625546e-4,3.7758002374638124e-4,-4.837542224495838e-4,-8.702264927531184e-4,-2.1290175200930296e-4,-4.892086116266167e-4,-3.797617561706249e-4,-9.410908194725343e-5,-3.8620625861320967e-4,-2.3236371816055226e-4,3.3764355256855926e-5,7.328808656466287e-5,1.253009725572941e-4,3.689076857986634e-5,-2.6638995144091045e-4,-2.6796764699601945e-5,-3.790335440096541e-5,-6.987519103706695e-5,8.893525933434019e-5,-2.1986320224131465e-5,-4.694508984899137e-5,5.478988223792568e-5,7.16440528433909e-5,7.848821562084999e-5,-1.19224811932148e-4,1.7752294342056657e-7,-2.644305806317882e-5,-2.778522186782389e-5,-1.417594340524797e-17,8.023096076392733e-18,9.405453846311751e-18,-9.703609443745265e-18,Atretium,Aquatic,Asian,aquatic gen
Blythia_reticulata,0.006157677575293272,0.046307384153784915,0.011968677398578402,0.01707700664784994,-0.02128965455028314,-0.015957399315884004,0.004092229352601181,0.0032252520855240246,-0.008756662012739233,-4.8570858796545584e-4,-0.006892370340254894,-4.8364386047642017e-4,-0.002339517391784827,-0.005345425533967979,-0.0015353327846401928,0.003347701853117584,0.0012416395880746483,0.0010869763585811586,0.0014616835817874655,-0.0026917564327028107,-1.7234802987285783e-4,-4.476494258387842e-4,7.590716276561729e-4,-0.0027144575732390886,-0.0018992271926367768,4.5690567111312185e-4,2.912328991651668e-4,-5.513082138738314e-4,-6.314489158088935e-4,-3.4585976595035236e-5,-7.439540881334023e-4,5.06634116222055e-4,-6.187289974181431e-4,1.657929894335891e-5,1.8122618130688995e-4,7.567905865823789e-4,-4.991132975165798e-4,2.517158107132742e-4,-1.3676169052755465e-4,1.36037717523391e-4,-4.2321811688648606e-4,-6.736718333060545e-5,-2.619552915291211e-4,8.732913006013115e-5,-2.499247431412996e-4,9.649152832455607e-5,2.0319432828929708e-4,-1.947302754980294e-4,1.994560590378305e-4,-2.3279448290052356e-4,-1.012253582255377e-4,1.4698405135436164e-4,1.0787504686404976e-4,1.4700434186126418e-4,-2.4044528730289848e-4,-1.6587421255853543e-4,1.0977247674946706e-4,1.3693651974801117e-4,1.049384459295582e-4,1.8937004095052667e-4,-7.12742575214901e-5,1.0669871665801569e-4,-4.5532607583579515e-5,-7.358005035197297e-5,-3.167145899165408e-5,2.6884798797092893e-5,-3.919007419671748e-5,-8.376125450357537e-5,-3.312198580544785e-5,2.0069112189913887e-5,2.2876665839444144e-17,5.605325231750058e-17,1.6642503347652493e-17,-2.168404344971009e-19,Blythia,Burrowing,Asian,annelids
