Species,Habit,Diet,Origin,Lineage,JL_log10_res,HLRA_log10_res,HLV_log10_res,HWLSL_log10_res,HWFSL_log10_res,HW_log10_res,HHP_log10_res,HH_log10_res,ES_log10_res,EN_log10_res,ED_log10_res,NL_log10_res,EL_log10_res,NN_log10_res,EE_log10_res,BWH_log10_res,BWM_log10_res,BWV_log10_res,MBVL_log10_res,TL_log10_res,DSR_res
Adelophis_foxi,Burrowing,annelids,American,North-Central American,-0.08456536744482394,-0.08160079973168735,-0.059635918681351326,-0.06531562093098173,-0.03106659323937586,-0.06205603233643541,-0.04913375460999033,-0.018860866873369544,-0.04620662099765826,0.014032043159176682,-0.059933742267574044,-0.09093563984512704,-0.053276666161519486,-0.1560258003446922,-0.07009504202834062,-0.02104170350446006,0.07041051537981548,0.05496715396795342,0.07942135137919261,0.08406114873590231,-0.7426681293036225
Afronatrix_anoscopus_2,Aquatic,aquatic generalist,African,African,-0.0031530673389901227,-0.00787695110534869,-0.01032335176890226,0.0548058045389247,-0.03547705310219357,0.05429574731360506,0.039652984804559574,0.06645976454926224,0.0035978078657608868,-0.002029008973972917,-0.057938684343775484,0.03329862000101623,0.047220016468320004,-0.06930772630990296,-0.02101552541441885,0.07732865653503264,0.08736487597988411,0.07571625294273002,0.056029538009766684,0.022696997596406795,4.468066604286521
Amphiesma_beddomei,Terrestrial,anurans,Asian,Asian I,-0.02353289355521673,-0.02331495227178358,-0.022730531099604483,-0.028355678054559377,-0.03258720074752781,-0.021613765945744014,-0.05215839194312414,-0.061112061382282,-0.02764400193377292,-0.016994408012542782,0.06341632744163635,-0.007142567292884034,-0.01680746907408219,0.022394541804472826,-0.02360638557301323,-0.07983766719982749,-0.08235152804577146,-0.04744514111876047,-0.04397218857086142,0.0569999338086982,0.4809715711368647
Amphiesma_monticola,Terrestrial,anurans,Asian,Asian I,0.044079031729448326,0.021061186089790847,0.01565395968604599,0.006537936600522093,0.06242953573032293,0.02035630587496836,4.630877885549626e-4,-7.567300322091031e-4,0.06465400645962806,0.059213658203455505,0.13933298983841044,0.013355501161171707,0.04718357862707599,0.04708278922877801,0.01966779369141267,-0.03806017442093558,-0.04900439681268493,-2.569507930291551e-4,0.0017906696317155132,0.1382424717078946,0.5351646142778635
Amphiesma_stolatum,Terrestrial,generalist,Asian,Asian I,0.014475166836137508,0.017042466442834674,-0.007100233291154506,0.00899335232026136,0.13779001967255777,-0.0016939284264212836,0.01933120749988919,0.03806619090375357,0.031216500234944454,0.006828065113685628,0.05756435252981552,0.12327420814141071,0.16307957677434054,-0.09693049183699107,-0.11298479767907196,0.05468439600368492,-0.025919136209519772,-0.05082133339551861,0.03953962745535247,0.1006133480601228,0.21186722388349152
Amphiesma_stolatum_1,Terrestrial,generalist,Asian,Asian I,0.026211850288972237,0.0320857749170304,0.023284433206034485,0.0022794077630361115,0.14909638042802473,0.004682374650279811,0.04515584891041224,0.011665274309539784,0.030474471346186888,1.1561407243855957e-4,0.08921090802777154,0.032591093429028474,0.038283600802609244,0.016723420825137156,0.005813580212165464,-0.01617523211278089,-0.019755141032866044,-0.022971510998155153,-0.012310829786060552,0.10963364737140018,0.5977329908497047
Amphiesma_stolatum_2,Terrestrial,generalist,Asian,Asian I,0.05692940660793152,0.054495244704721266,0.051271253532905715,0.037544168792076324,0.13398564859086926,0.05378029541924775,0.04848744351913825,0.061875613282826945,0.06630924350677542,0.00975493683713997,0.13034988558289878,0.07038414342540582,0.08766659003336372,0.059367983123455516,0.03140679745570355,0.0345681075877194,0.032806047403085334,0.003022301189552052,0.0517688461918987,0.14065957380628272,1.1489942092426528
Amphiesma_stolatum_3,Terrestrial,generalist,Asian,Asian I,0.025911869067185317,0.04181155792649741,0.012912062281841514,0.022423788317070016,0.07712175961434231,0.01987018389147866,0.01754558427308235,0.058402261128676525,0.0203388357898198,-0.0020323175242919576,0.092137942821631,0.05154977757174288,0.06883928047105559,0.007993170329872082,0.018064384533182445,5.530350119621573e-4,-0.008521656032340183,0.003715267923342121,0.04862812308902227,0.12751529822291585,0.6244924041901676
Amphiesma_stolatum_WII,Terrestrial,generalist,Asian,Asian I,0.013614324949573884,0.015955513599182264,-0.027221178067619402,0.01715587770254567,0.11884338969501915,0.004860248225988791,0.0054730908478738925,-0.003384974709238186,-0.0030598602690826565,0.004389837653270547,0.08634733033620645,-0.005331046313794495,0.02563217505570317,0.019929954306149387,0.009812147720422586,-0.04404673264984184,-0.038710469967221495,-0.09796014140952614,-0.027987823924151712,0.11638715928648141,0.8289295136210773
Amphiesmoides_ornaticeps,Semiaquatic,anurans,Asian,Asian VI,-0.10878186939555055,-0.11659963728582835,-0.12556475533381836,-0.17470194107782827,-0.02840829815805371,-0.15074702817255767,-0.12286065036585651,-0.15098835141971484,-0.06852994373754157,-0.09059342526241677,0.06524324229460163,-0.23314949503979332,-0.16339088746147315,0.027185666814962345,-0.06253373968408817,-0.2386409523937591,-0.1048721161335964,-0.05501476595382427,-0.14775536211311144,0.23142516956680156,-0.5574908967051673
