Species,Habit,Diet,Origin,Lineage,JL_LSR,HLRA_LSR,HLV_LSR,HWLSL_LSR,HWFSL_LSR,HW_LSR,HHP_LSR,HH_LSR,ES_LSR,EN_LSR,ED_LSR,NL_LSR,EL_LSR,NN_LSR,EE_LSR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Adelophis_foxi,Burrowing,annelids,American,North-Central American,0.30568903052100366,0.5028725999363121,0.5348791150681895,0.20399400159951936,-0.249485967020968,0.22979154458978834,0.03655811590595901,0.1263343041903553,-0.005902582313333774,-0.1563664870050119,-0.2539718236324005,-0.6043711833369182,-0.28474761294612344,-0.3876242929820005,0.002351237425629357,1.3020342757040493,-0.4853712155094888,-0.12684405099266252,1.31459053922053,1.441059832779065,0.09475279746552195,0.012629341462362864,-0.1705129612396437,0.636736474798629,-0.5564771961943978,-0.5045667654550833,-1.3296287889648253,-0.017031464034679537,-0.27836753182997787,7.4593109467002705e-16
Afronatrix_anoscopus_2,Aquatic,aquatic generalist,African,African,0.32394074417086555,0.5100104725112983,0.5128427695036136,0.2622359729655656,-0.30784854993306937,0.28653873492019244,0.04798600819252813,0.14509950449941267,-0.03225762892513641,-0.26644112246788537,-0.32706048845376584,-0.5176423822826876,-0.23602579422052133,-0.36568801975910614,-0.03569022072130452,1.6788547525552417,2.6403158843718812,-1.6597879672402465,1.0864683525756078,0.6304818853330892,-0.7757851702735326,-0.23235479799656475,0.4231020783268598,0.10356300336383212,0.2693345636034727,0.1470802473325435,-0.12645537930417897,0.05103078969636897,-0.0038407250266941882,2.6367796834847468e-15
Amphiesma_beddomei,Terrestrial,anurans,Asian,Asian I,0.3265324804233724,0.5186627769240808,0.526081485901372,0.2016276309496304,-0.2849946484764034,0.23243938418180413,-0.01621660910039571,0.04160800807348958,-0.036282397857262644,-0.24835827236335298,-0.17883978005590642,-0.5434910532056936,-0.28080033040605695,-0.2504846954233001,-0.007483979565377404,-0.8871805032371383,0.11066026098061989,0.4536882338236234,-0.06445838821167255,-0.4947050364557329,-0.07605588114049952,-0.8550567337324155,-0.3199153102498876,0.3891221856032956,0.056852134048279504,-0.5282560161803955,0.19573672686748167,0.009550672629180986,-0.03124895269276668,-1.033895191682177e-15
Amphiesma_monticola,Terrestrial,anurans,Asian,Asian I,0.3384844169505306,0.5075399396460756,0.5091908866006135,0.18080103621864668,-0.2460707517831163,0.2185823148174335,-0.01858771777473428,0.04646292799528447,9.666447272042736e-4,-0.22635992564768193,-0.15802265006680277,-0.5798589128573529,-0.2730044662590449,-0.281380230307277,-0.018743512259778192,-0.9994528978374235,-0.2671868240728214,1.332696516414433,0.1773790388038446,0.1280726765395228,-1.1224463462663217,-0.4656114800617297,-0.19509704599967095,0.6319552421793293,-0.4367839977879643,-0.24010519119884638,-0.5068831732970516,-0.44387405707834715,-0.04197038623745362,-1.096345236817342e-15
Amphiesma_stolatum,Terrestrial,generalist,Asian,Asian I,0.3216775962356404,0.5058436200994442,0.48784265351750195,0.1984542379088128,-0.20526755432911564,0.2195804173678697,-0.009481987290447493,0.08442251557788363,-0.0031108048345070208,-0.2651825796456681,-0.2235563400414253,-0.5412462489434297,-0.2600731738671878,-0.2822159189444485,-0.02768643281092335,-1.246370446799738,0.5844453014184925,0.16891631897485138,0.4515578243780119,0.9602271278128713,-1.3002404363836333,0.21154111628542122,-0.3929856906970398,0.15660843383393208,-0.3027830146877948,-0.02668896130072901,-0.47801421626929436,-0.3822247668250132,0.20362637523630706,2.3592239273284576e-15
Amphiesma_stolatum_1,Terrestrial,generalist,Asian,Asian I,0.32391141948700125,0.5220446095472245,0.5205599274279443,0.1797671638551911,-0.15660946965323982,0.2060095823555883,0.030169771919757272,0.06236335572643662,-0.02921325213463582,-0.2804893828202164,-0.20420347510450132,-0.5587214494056358,-0.27922816727018895,-0.3083574308612091,-0.028003203069516078,-1.1028319659515078,0.4177447007567184,0.4098906536549143,-0.10863005160117353,0.4332341394308637,0.24918579580773814,1.0360127231821619,-0.47004870014242345,0.5484437306121496,-1.1900876758276095,-0.07761971591739733,-0.3179302433794331,-0.8014475943030951,0.04763624826918851,-2.7755575615628914e-16
Amphiesma_stolatum_2,Terrestrial,generalist,Asian,Asian I,0.32300406798411785,0.5144670254223818,0.5208370972813239,0.182794442179205,-0.20774814650535428,0.22178229124997353,0.008665373105866899,0.08257203569064375,-0.01878795430897654,-0.2877225725259725,-0.18898834426890784,-0.5648203355408357,-0.26691418197718053,-0.2965625909067787,-0.02257820687950658,-0.9396560391073329,0.5521884122813355,0.5311327084603814,0.35536129782665127,0.530199263897025,-0.15522171737506762,0.49818990345435354,-0.2187388814456531,0.5480324864462865,-0.2416608369561789,-0.16859350726507286,-0.26032560518220543,-0.8421634059407552,-0.07336848254823561,9.298117831235686e-16
Amphiesma_stolatum_3,Terrestrial,generalist,Asian,Asian I,0.3218383317477349,0.5300767910148718,0.5086045050567595,0.19810870218033652,-0.23057092994488007,0.2193417486384451,0.0011159493718161913,0.10740603204073876,-0.04082028360701594,-0.283694307716594,-0.20277280497611755,-0.5421313398997732,-0.2507098623343078,-0.31882315869212846,-0.016969372879885408,-0.679091996567993,1.3539409841868009,0.5278520802846266,0.5505320184384279,0.6332922287962786,0.23991747706343752,0.3586319246870592,-0.5658901437230892,-0.2834083371499433,-0.0348567817544011,-0.10024145348093003,-0.22045110548104907,-0.25148230816726774,0.12440251053264301,-8.326672684688674e-16
Amphiesma_stolatum_WII,Terrestrial,generalist,Asian,Asian I,0.32549589501208304,0.5207832577970366,0.4858783586761407,0.2085687234559186,-0.1745270738938939,0.21965635677797907,0.007516255467328279,0.06217589096226644,-0.04595885750416173,-0.2558460688536574,-0.1904940520589607,-0.5876063258336588,-0.27998082204369856,-0.29064378714646266,-0.0050177508142581345,-1.2905678611504992,0.39003417845723765,0.1618293616644537,0.7591421401595011,-0.444560727590749,-0.18448292399579513,0.5591165701350763,-0.8995045326411277,-0.09469994430763624,-0.9070066800035216,-0.01496134498883303,-0.7229285446069889,0.024248952529906383,0.1409111708690354,-4.003741782554471e-15
Amphiesmoides_ornaticeps,Semiaquatic,anurans,Asian,Asian VI,0.3270304966034626,0.5080397048835098,0.5016187161519321,0.14218232471648834,-0.1867743396813513,0.19225613621564683,-0.013960790386905968,0.034420843999917905,-0.0031299427352241976,-0.2640007685565351,-0.10200549676583591,-0.6606424370032918,-0.33138120223905654,-0.16140686799305717,0.017753622790300586,-2.5065974489149405,-2.444050165609425,1.6512765952729955,0.7625991100505736,-0.6564955759692156,-0.5533157209557589,1.0016707245340102,-0.5287920495221297,0.6183219114506375,-0.28935450945284286,-0.590633895286407,-0.050895884172205405,-0.6111226073295758,-0.2875237791551828,1.5265566588595902e-16
