Habit,Taxa1,Taxa2,C1,C2,C3,C4,pC1,pC2,pC3,pC4,sig
Aquatic,Afronatrix_anoscopus_2,Atretium_schistosum_2,0.115047964,0.440015698,0.038132109,0.003102731,0.247524752,0.247524752,0.326732673,0.287128713,FALSE
Aquatic,Afronatrix_anoscopus_2,Fowlea_flavipunctatus_1,0.14572264,0.551688509,0.038758119,0.003890181,0.198019802,0.237623762,0.336633663,0.247524752,FALSE
Aquatic,Afronatrix_anoscopus_2,Fowlea_piscator_2,0.095696183,0.340838911,0.024537592,0.002403395,0.277227723,0.297029703,0.376237624,0.316831683,FALSE
Aquatic,Afronatrix_anoscopus_2,Fowlea_punctulatus,0.203286268,0.940830939,0.064210645,0.006634184,0.128712871,0.079207921,0.188118812,0.118811881,FALSE
Aquatic,Afronatrix_anoscopus_2,Liodytes_alleni,0.113994146,0.801862259,0.054474774,0.001879994,0.257425743,0.207920792,0.257425743,0.257425743,FALSE
Aquatic,Afronatrix_anoscopus_2,Liodytes_rigida,0.151763301,0.60063196,0.042702821,0.001408202,0.267326733,0.316831683,0.366336634,0.376237624,FALSE
Aquatic,Afronatrix_anoscopus_2,Natrix_tessellata_3,0.116402525,0.449922852,0.035976206,0.00105486,0.247524752,0.287128713,0.326732673,0.326732673,FALSE
Aquatic,Afronatrix_anoscopus_2,Nerodia_cyclopion,0.132439234,0.590042839,0.033551212,0.001383376,0.207920792,0.237623762,0.366336634,0.287128713,FALSE
Aquatic,Afronatrix_anoscopus_2,Nerodia_fasciata,0.345523207,1.617328667,0.101048169,0.003791882,0.059405941,0.059405941,0.099009901,0.108910891,FALSE
Aquatic,Afronatrix_anoscopus_2,Nerodia_paucimaculata,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Afronatrix_anoscopus_2,Nerodia_rhombifer,0.287133919,1.109839431,0.065935,0.002602057,0.079207921,0.158415842,0.247524752,0.227722772,FALSE
Aquatic,Afronatrix_anoscopus_2,Paratapinophis_praemaxillaris,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Afronatrix_anoscopus_2,Regina_grahami,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Afronatrix_anoscopus_2,Regina_septemvittata,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Afronatrix_anoscopus_2,Thamnophis_rufipunctatus,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Afronatrix_anoscopus_2,Thamnophis_sumichrasti,0.202457246,1.025266383,0.064600798,0.002403772,0.168316832,0.148514851,0.237623762,0.247524752,FALSE
Aquatic,Afronatrix_anoscopus_2,Trimerodytes_aequifasciata,0.179618153,0.821903535,0.061632576,0.001926981,0.108910891,0.118811881,0.158415842,0.158415842,FALSE
Aquatic,Afronatrix_anoscopus_2,Trimerodytes_percarinata,0.124645417,0.551134961,0.036929877,0.001292155,0.326732673,0.346534653,0.376237624,0.376237624,FALSE
Aquatic,Afronatrix_anoscopus_2,Xenochrophis_cerasogaster,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Afronatrix_anoscopus_2,Xenochrophis_trianguligerus_1,0.204557673,0.899292767,0.066620189,0.006341281,0.128712871,0.138613861,0.168316832,0.148514851,FALSE
Aquatic,Afronatrix_anoscopus_2,Xenochrophis_trianguligerus_2,0.102684646,0.439291091,0.036125094,0.003097621,0.297029703,0.316831683,0.326732673,0.316831683,FALSE
Aquatic,Afronatrix_anoscopus_2,Xenochrophis_vittatus,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Atretium_schistosum_2,Helophis_schoutedeni,0.115701071,0.52850927,0.038752265,0.003726735,0.158415842,0.138613861,0.217821782,0.158415842,FALSE
Aquatic,Atretium_schistosum_2,Liodytes_alleni,0.188323052,1.017181212,0.069776675,0.002384816,0.188118812,0.148514851,0.227722772,0.227722772,FALSE
Aquatic,Atretium_schistosum_2,Liodytes_rigida,0.131381421,0.399120555,0.028665907,9.36E-04,0.237623762,0.346534653,0.366336634,0.366336634,FALSE
Aquatic,Atretium_schistosum_2,Natrix_tessellata_3,0.31228647,1.378436223,0.111488709,0.003231791,0.089108911,0.108910891,0.138613861,0.168316832,FALSE
Aquatic,Atretium_schistosum_2,Nerodia_clarkii,0.137699631,0.551809896,0.034741482,0.001293737,0.297029703,0.346534653,0.405940594,0.415841584,FALSE
Aquatic,Atretium_schistosum_2,Nerodia_fasciata,0.220223922,0.748531961,0.047186374,0.001754959,0.148514851,0.207920792,0.326732673,0.306930693,FALSE
Aquatic,Atretium_schistosum_2,Nerodia_floridana,0.260452994,1.612627434,0.079028913,0.00378086,0.158415842,0.079207921,0.227722772,0.148514851,FALSE
Aquatic,Atretium_schistosum_2,Nerodia_paucimaculata,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Atretium_schistosum_2,Nerodia_rhombifer,0.198335251,0.833903674,0.049963935,0.001955116,0.217821782,0.257425743,0.336633663,0.336633663,FALSE
Aquatic,Atretium_schistosum_2,Nerodia_sipedon,0.343878952,1.199861534,0.074962263,0.002813116,0.069306931,0.138613861,0.198019802,0.198019802,FALSE
Aquatic,Atretium_schistosum_2,Nerodia_taxispilota,0.037173863,0.15629809,0.009523833,3.66E-04,0.574257426,0.574257426,0.633663366,0.633663366,FALSE
Aquatic,Atretium_schistosum_2,Paratapinophis_praemaxillaris,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Atretium_schistosum_2,Regina_grahami,0.243076528,0.815843762,0.057486971,0.001912774,0.059405941,0.207920792,0.267326733,0.257425743,FALSE
Aquatic,Atretium_schistosum_2,Regina_septemvittata,0.016215791,0.062924007,0.004623948,1.48E-04,0.544554455,0.544554455,0.554455446,0.564356436,FALSE
Aquatic,Atretium_schistosum_2,Thamnophis_rufipunctatus,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Atretium_schistosum_2,Thamnophis_validus,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Atretium_schistosum_2,Trimerodytes_aequifasciata,0.059480399,0.199801891,0.015144167,4.68E-04,0.386138614,0.396039604,0.425742574,0.425742574,FALSE
Aquatic,Atretium_schistosum_2,Trimerodytes_annularis,0.167519427,0.568359966,0.04239411,0.001332539,0.217821782,0.297029703,0.366336634,0.376237624,FALSE
Aquatic,Atretium_schistosum_2,Trimerodytes_percarinata,0.09540386,0.379472548,0.025671937,8.90E-04,0.346534653,0.376237624,0.405940594,0.405940594,FALSE
Aquatic,Atretium_schistosum_2,Xenochrophis_trianguligerus_1,0.231014007,1.01827885,0.086026396,0.009003102,0.069306931,0.089108911,0.128712871,0.099009901,FALSE
Aquatic,Atretium_schistosum_2,Xenochrophis_trianguligerus_2,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Atretium_schistosum_2,Xenochrophis_vittatus,0.074480339,0.294349491,0.026491728,0.002602488,0.346534653,0.346534653,0.425742574,0.366336634,FALSE
Aquatic,Fowlea_asperrimus,Helophis_schoutedeni,0.05000152,0.237034461,0.016180061,0.001671427,0.316831683,0.316831683,0.346534653,0.316831683,FALSE
Aquatic,Fowlea_asperrimus,Limnophis_bangweolicus,0.136961797,0.871123675,0.05967714,0.006142649,0.198019802,0.089108911,0.217821782,0.108910891,FALSE
Aquatic,Fowlea_asperrimus,Liodytes_alleni,0.04458547,0.244663875,0.015694342,5.74E-04,0.425742574,0.435643564,0.455445545,0.435643564,FALSE
Aquatic,Fowlea_asperrimus,Liodytes_pygaea,0.366159681,1.849102296,0.107408482,0.004335284,0.059405941,0.079207921,0.138613861,0.128712871,FALSE
Aquatic,Fowlea_asperrimus,Liodytes_rigida,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Fowlea_asperrimus,Nerodia_paucimaculata,0.055430257,0.199691872,0.010913425,4.68E-04,0.485148515,0.584158416,0.603960396,0.603960396,FALSE
Aquatic,Fowlea_asperrimus,Paratapinophis_praemaxillaris,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Fowlea_asperrimus,Regina_grahami,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Fowlea_asperrimus,Regina_septemvittata,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Fowlea_asperrimus,Thamnophis_rufipunctatus,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
Aquatic,Fowlea_asperrimus,Thamnophis_sumichrasti,0.264771904,1.060548032,0.06335328,0.002486491,0.079207921,0.178217822,0.306930693,0.306930693,FALSE
Aquatic,Fowlea_asperrimus,Trimerodytes_aequifasciata,0.193124916,0.651357795,0.04585425,0.001527131,0.207920792,0.297029703,0.435643564,0.425742574,FALSE
Aquatic,Fowlea_asperrimus,Xenochrophis_trianguligerus_2,0.171896926,0.57471165,0.049931819,0.005081307,0.178217822,0.207920792,0.287128713,0.217821782,FALSE
Aquatic,Fowlea_asperrimus,Xenochrophis_vittatus,0.155356689,0.652235851,0.053803151,0.005766737,0.207920792,0.198019802,0.297029703,0.227722772,FALSE
Aquatic,Fowlea_flavipunctatus_1,Helophis_schoutedeni,0,0,0,0,0.99009901,0.99009901,0.99009901,0.99009901,FALSE
